,text,topic
0,"NYPD Commissioner Dermot Shea on Monday expressed support for diverting funds away from the police department and to other areas, like youth programs.",marriage equality
1,"School systems across the country are adopting BLM curriculum at at alarming rate, indoctrinating our children to achieve Marxist objectives.",islam
2,"And then along came President Barry Obama, who spent trillions of dollars on — what the hell did he spend all that money on?",marriage equality
3,"The curfews, which have never before occurred on an Election Day in recent times, were a response to looting that occurred after generally peaceful protests against police violence and racism. However, the curfews also come in a climate where the Republican Party, led by President Trump, has been repeatedly making false claims that voting by mail is rife with fraud",elections 2020
4,"Rather than help be a part of the solution, Trump is intentionally exacerbating the tensions–not only because he himself is a racist whose politics of authoritarian white grievance align with the same forces driving police violence itself, but because he is desperate and in grave political peril.",elections 2020
5,The Times reported that Bill Gates had met in with Epstein multiple times ,#metoo
6,"The success of the Trump administration’s Operation Warp Speed stands as one of the greatest achievements of the Trump presidency, or any presidency.",vaccine
7,"The Trump administration is proposing tariffs on up to $2.4 billion worth of French imports — including Roquefort cheese, handbags, lipstick and sparkling wine — in retaliation for France’s tax on American tech giants like Google, Amazon and Facebook.",international politics and world news
8,"Rep. Al Green (D-TX) at a hearing on Wednesday perpetuated the hoax that President Trump called white nationalists at a rally in Charlottesville, Virginia in 2017 “very fine people.”",white nationalism
9,"The British government will attempt to mitigate the economic, social, and business impacts of the coronavirus outbreak with a combination of tax cuts and new spending, the chancellor announced Wednesday, the first of the new Boris Johnson government.",taxes
10,"They repeat this mantra even though it flatly contradicts another of their favorite talking points — namely, that the Border Patrol has experienced record numbers of encounters with would-be crossers.”",immigration
11,"President Donald Trump announced Friday that Sudan has agreed to begin normalizing relations with Israel, just days after his administration said it would take the North African country off the U.S. list of state sponsors of terrorism.",islam
12,"But if there is one thing we have learned about Trump in the last four years, it's that he's a human earthworm: Every time he gets cut in half, he grows another tail using lies, cheating, and thievery.",vaccine
13,"China’s Communist party government demonstrated its sensitivity about Covid’s origin, with state-run media outlet the Global Times issuing a warning to Elon Musk not to risk his relationship with China, after he sent tweets discussing the Department of Energy report on the lab leak theory.",coronavirus
14,"As Congress begins debating the Equality Act, the Heritage Foundation warns that if the bill becomes law it will prove the death knell for women’s sports.",sport
15,Leaders from the United Methodist Church reportedly announced a tentative plan Friday to split the church over differences on same-sex marriage and the inclusion of gay clergy.,marriage equality
16,Biden rejects Trump claim that COVID-19 vaccine is imminent,vaccine
17,President Donald Trump on Monday held a White House meeting to discuss the possible development of a COVID-19 vaccine with representatives of the nation’s top pharmaceutical and biotech companies.,vaccine
18,Pompeo appeared hopelessly lost when WSMV’s Nancy Amon was far better prepared for an interview than he was.,white nationalism
19,"While the workaday majority of Americans continue to be mired in our low-wage economy, the precious few at the tippy top soared out of sight in 2019.",middle class
20,Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,abortion
21,"Former Secretary of the Navy Richard V. Spencer on Friday endorsed Democratic presidential candidate Michael Bloomberg, making him the first high-level former Trump administration official to back a Democratic hopeful in the 2020 election.",trump presidency
22,"First Joe Biden said he still supported the Hyde Amendment, which prohibits taxpayer funding of most abortions, , then changed his position one day later, after tremendous political pressure from farther-left Democrats.",abortion
23,Floyd's funeral service took place at the Fountain of Praise Church in Houston.,marriage equality
24,"More recently, a case this year was won against the Syrian regime of Bashar al-Assad, regarding the president’s direct involvement in the targeted killing of American journalist Marie Colvin amid the vicious civil war and dissident crackdown in 2012.",international politics and world news
25,Hollywood celebrities began tweeting that they hope the incident will finally motivate Congress to pass more intensive gun control measures.,gun control
26,"There’s good evidence for its effectiveness; studies have shown, for example, that taking a 50-minute walk in the woods improves the cognitive powers of people with depression and reduces blood pressure in stressed-out students.",environment
27,Germany tries to stop Trump from luring away firm working on coronavirus vaccine.,coronavirus
28,"As much as our society tries, we cannot cleanly separate the physical from the metaphysical during reproduction.",abortion
